title,combined_text,release_year,voting
Avatar,"Action Adventure Fantasy ScienceFictioncultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3dI n   t h e   2 2 n d   c e n t u r y ,   a   p a r a p l e g i c   M a r i n e   i s   d i s p a t c h e d   t o   t h e   m o o n   P a n d o r a   o n   a   u n i q u e   m i s s i o n ,   b u t   b e c o m e s   t o r n   b e t w e e n   f o l l o w i n g   o r d e r s   a n d   p r o t e c t i n g   a n   a l i e n   c i v i l i z a t i o n . 2009",2009,7.2
Pirates of the Caribbean: At World's End,"Adventure Fantasy Actionocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstingerC a p t a i n   B a r b o s s a ,   l o n g   b e l i e v e d   t o   b e   d e a d ,   h a s   c o m e   b a c k   t o   l i f e   a n d   i s   h e a d e d   t o   t h e   e d g e   o f   t h e   E a r t h   w i t h   W i l l   T u r n e r   a n d   E l i z a b e t h   S w a n n .   B u t   n o t h i n g   i s   q u i t e   a s   i t   s e e m s . 2007",2007,6.9
Spectre,"Action Adventure Crimespy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdomA   c r y p t i c   m e s s a g e   f r o m   B o n d ’ s   p a s t   s e n d s   h i m   o n   a   t r a i l   t o   u n c o v e r   a   s i n i s t e r   o r g a n i z a t i o n .   W h i l e   M   b a t t l e s   p o l i t i c a l   f o r c e s   t o   k e e p   t h e   s e c r e t   s e r v i c e   a l i v e ,   B o n d   p e e l s   b a c k   t h e   l a y e r s   o f   d e c e i t   t o   r e v e a l   t h e   t e r r i b l e   t r u t h   b e h i n d   S P E C T R E . 2015",2015,6.3
The Dark Knight Rises,"Action Crime Drama Thrillerdccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batmanF o l l o w i n g   t h e   d e a t h   o f   D i s t r i c t   A t t o r n e y   H a r v e y   D e n t ,   B a t m a n   a s s u m e s   r e s p o n s i b i l i t y   f o r   D e n t ' s   c r i m e s   t o   p r o t e c t   t h e   l a t e   a t t o r n e y ' s   r e p u t a t i o n   a n d   i s   s u b s e q u e n t l y   h u n t e d   b y   t h e   G o t h a m   C i t y   P o l i c e   D e p a r t m e n t .   E i g h t   y e a r s   l a t e r ,   B a t m a n   e n c o u n t e r s   t h e   m y s t e r i o u s   S e l i n a   K y l e   a n d   t h e   v i l l a i n o u s   B a n e ,   a   n e w   t e r r o r i s t   l e a d e r   w h o   o v e r w h e l m s   G o t h a m ' s   f i n e s t .   T h e   D a r k   K n i g h t   r e s u r f a c e s   t o   p r o t e c t   a   c i t y   t h a t   h a s   b r a n d e d   h i m   a n   e n e m y . 2012",2012,7.6
John Carter,"Action Adventure ScienceFictionbasedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3dJ o h n   C a r t e r   i s   a   w a r - w e a r y ,   f o r m e r   m i l i t a r y   c a p t a i n   w h o ' s   i n e x p l i c a b l y   t r a n s p o r t e d   t o   t h e   m y s t e r i o u s   a n d   e x o t i c   p l a n e t   o f   B a r s o o m   ( M a r s )   a n d   r e l u c t a n t l y   b e c o m e s   e m b r o i l e d   i n   a n   e p i c   c o n f l i c t .   I t ' s   a   w o r l d   o n   t h e   b r i n k   o f   c o l l a p s e ,   a n d   C a r t e r   r e d i s c o v e r s   h i s   h u m a n i t y   w h e n   h e   r e a l i z e s   t h e   s u r v i v a l   o f   B a r s o o m   a n d   i t s   p e o p l e   r e s t s   i n   h i s   h a n d s . 2012",2012,6.1
Spider-Man 3,"Fantasy Action Adventuredualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revengeT h e   s e e m i n g l y   i n v i n c i b l e   S p i d e r - M a n   g o e s   u p   a g a i n s t   a n   a l l - n e w   c r o p   o f   v i l l a i n   –   i n c l u d i n g   t h e   s h a p e - s h i f t i n g   S a n d m a n .   W h i l e   S p i d e r - M a n ’ s   s u p e r p o w e r s   a r e   a l t e r e d   b y   a n   a l i e n   o r g a n i s m ,   h i s   a l t e r   e g o ,   P e t e r   P a r k e r ,   d e a l s   w i t h   n e m e s i s   E d d i e   B r o c k   a n d   a l s o   g e t s   c a u g h t   u p   i n   a   l o v e   t r i a n g l e . 2007",2007,5.9
Tangled,"Animation Familyhostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekickW h e n   t h e   k i n g d o m ' s   m o s t   w a n t e d - a n d   m o s t   c h a r m i n g - b a n d i t   F l y n n   R i d e r   h i d e s   o u t   i n   a   m y s t e r i o u s   t o w e r ,   h e ' s   t a k e n   h o s t a g e   b y   R a p u n z e l ,   a   b e a u t i f u l   a n d   f e i s t y   t o w e r - b o u n d   t e e n   w i t h   7 0   f e e t   o f   m a g i c a l ,   g o l d e n   h a i r .   F l y n n ' s   c u r i o u s   c a p t o r ,   w h o ' s   l o o k i n g   f o r   h e r   t i c k e t   o u t   o f   t h e   t o w e r   w h e r e   s h e ' s   b e e n   l o c k e d   a w a y   f o r   y e a r s ,   s t r i k e s   a   d e a l   w i t h   t h e   h a n d s o m e   t h i e f   a n d   t h e   u n l i k e l y   d u o   s e t s   o f f   o n   a n   a c t i o n - p a c k e d   e s c a p a d e ,   c o m p l e t e   w i t h   a   s u p e r - c o p   h o r s e ,   a n   o v e r - p r o t e c t i v e   c h a m e l e o n   a n d   a   g r u f f   g a n g   o f   p u b   t h u g s . 2010",2010,7.4
Avengers: Age of Ultron,"Action Adventure ScienceFictionmarvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3dW h e n   T o n y   S t a r k   t r i e s   t o   j u m p s t a r t   a   d o r m a n t   p e a c e k e e p i n g   p r o g r a m ,   t h i n g s   g o   a w r y   a n d   E a r t h ’ s   M i g h t i e s t   H e r o e s   a r e   p u t   t o   t h e   u l t i m a t e   t e s t   a s   t h e   f a t e   o f   t h e   p l a n e t   h a n g s   i n   t h e   b a l a n c e .   A s   t h e   v i l l a i n o u s   U l t r o n   e m e r g e s ,   i t   i s   u p   t o   T h e   A v e n g e r s   t o   s t o p   h i m   f r o m   e n a c t i n g   h i s   t e r r i b l e   p l a n s ,   a n d   s o o n   u n e a s y   a l l i a n c e s   a n d   u n e x p e c t e d   a c t i o n   p a v e   t h e   w a y   f o r   a n   e p i c   a n d   u n i q u e   g l o b a l   a d v e n t u r e . 2015",2015,7.3
Harry Potter and the Half-Blood Prince,"Adventure Fantasy Familywitch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolfA s   H a r r y   b e g i n s   h i s   s i x t h   y e a r   a t   H o g w a r t s ,   h e   d i s c o v e r s   a n   o l d   b o o k   m a r k e d   a s   ' P r o p e r t y   o f   t h e   H a l f - B l o o d   P r i n c e ' ,   a n d   b e g i n s   t o   l e a r n   m o r e   a b o u t   L o r d   V o l d e m o r t ' s   d a r k   p a s t . 2009",2009,7.4
Batman v Superman: Dawn of Justice,"Action Adventure Fantasydccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverseF e a r i n g   t h e   a c t i o n s   o f   a   g o d - l i k e   S u p e r   H e r o   l e f t   u n c h e c k e d ,   G o t h a m   C i t y ’ s   o w n   f o r m i d a b l e ,   f o r c e f u l   v i g i l a n t e   t a k e s   o n   M e t r o p o l i s ’ s   m o s t   r e v e r e d ,   m o d e r n - d a y   s a v i o r ,   w h i l e   t h e   w o r l d   w r e s t l e s   w i t h   w h a t   s o r t   o f   h e r o   i t   r e a l l y   n e e d s .   A n d   w i t h   B a t m a n   a n d   S u p e r m a n   a t   w a r   w i t h   o n e   a n o t h e r ,   a   n e w   t h r e a t   q u i c k l y   a r i s e s ,   p u t t i n g   m a n k i n d   i n   g r e a t e r   d a n g e r   t h a n   i t ’ s   e v e r   k n o w n   b e f o r e . 2016",2016,5.7
